ID,surveyID,ID2015,GroupID,RA,Dec,z,StellarMass,tag,CC
18937,-1,481804,-1,      149.92088,        2.03123,        0.35570,       11.14947,-1,       -1.00000
18938,-1,441867,-1,      149.91980,        1.96602,        0.60090,       10.29816,-1,       -1.00000
18939,-1,445245,-1,      149.91872,        1.97188,        0.99290,        9.85263,-1,       -1.00000
18940,-1,538008,-1,      149.91834,        2.11723,        0.34770,        9.92637,-1,       -1.00000
18941,-1,454917,-1,      149.91670,        1.98697,        0.21960,        8.52013,-1,       -1.00000
18942,-1,495298,-1,      149.91606,        2.05259,        0.34860,        8.74465,-1,       -1.00000
18943,-1,503617,-1,      149.91594,        2.06297,        0.34880,       10.06003,-1,       -1.00000
18944,-1,516448,-1,      149.91515,        2.08320,        0.30880,        9.23313,-1,       -1.00000
18945,-1,523789,-1,      149.91489,        2.09436,        0.88480,       11.00996,-1,       -1.00000
18946,-1,442341,-1,      149.91450,        1.96751,        0.60800,        9.83057,-1,       -1.00000
18947,-1,473237,-1,      149.91425,        2.01724,        0.68360,       10.19139,-1,       -1.00000
18948,-1,515976,-1,      149.91365,        2.08346,        0.18540,        8.79840,-1,       -1.00000
18949,-1,499554,-1,      149.91313,        2.05574,        0.34880,       10.76876,-1,       -1.00000
18950,-1,540927,-1,      149.91299,        2.12352,        0.53520,        9.44082,-1,       -1.00000
18951,-1,464700,-1,      149.91286,        2.00255,        0.64980,       10.79276,-1,       -1.00000
18952,-1,513787,-1,      149.91235,        2.08084,        0.65810,       10.00183,-1,       -1.00000
18953,-1,479098,-1,      149.91206,        2.02681,        0.93700,       10.95148,-1,       -1.00000
18954,-1,524909,-1,      149.91113,        2.09774,        0.88450,       10.56292,-1,       -1.00000
18955,-1,458079,-1,      149.91066,        1.99146,        0.85020,       11.16964,-1,       -1.00000
18956,-1,538707,-1,      149.91026,        2.11928,        0.68080,       10.65650,-1,       -1.00000
18957,-1,465117,-1,      149.90990,        2.00441,        0.66670,       10.85046,-1,       -1.00000
18958,-1,470211,-1,      149.90991,        2.01293,        0.52730,        9.78449,-1,       -1.00000
18959,-1,471634,-1,      149.90922,        2.01306,        0.84740,       11.19948,-1,       -1.00000
18960,-1,514223,-1,      149.90900,        2.07948,        0.66010,       10.81619,-1,       -1.00000
18961,-1,540630,-1,      149.90796,        2.12187,        0.69490,       10.43365,-1,       -1.00000
18962,-1,483423,-1,      149.90706,        2.03439,        0.35140,        9.61647,-1,       -1.00000
18963,-1,517663,-1,      149.90697,        2.08648,        0.48250,        9.72857,-1,       -1.00000
18964,-1,528930,-1,      149.90649,        2.10373,        0.35500,        9.55296,-1,       -1.00000
18965,-1,457784,-1,      149.90411,        1.99308,        0.84790,        9.99334,-1,       -1.00000
18966,-1,468906,-1,      149.90404,        2.00905,        0.84790,        9.83812,-1,       -1.00000
18967,-1,477498,-1,      149.90352,        2.02379,        0.31160,        9.79475,-1,       -1.00000
18968,-1,453606,-1,      149.90294,        1.98532,        0.74310,       10.68981,-1,       -1.00000
18969,-1,499865,-1,      149.90277,        2.05901,        0.95300,       10.13671,-1,       -1.00000
18970,-1,536603,-1,      149.90245,        2.11331,        0.53620,       10.33419,-1,       -1.00000
18971,-1,469327,-1,      149.90237,        2.01084,        0.37150,        9.17889,-1,       -1.00000
18972,-1,534106,-1,      149.90112,        2.11145,        0.77250,       10.90292,-1,       -1.00000
18973,-1,477559,-1,      149.90085,        2.02276,        0.36180,        9.20176,-1,       -1.00000
18974,-1,537129,-1,      149.90077,        2.11786,        0.35620,        8.95674,-1,       -1.00000
18975,-1,475861,-1,      149.90059,        2.02140,        0.31520,        9.38199,-1,       -1.00000
18976,-1,531238,-1,      149.90050,        2.10812,        0.68010,       10.17953,-1,       -1.00000
18977,-1,496635,-1,      149.90019,        2.05302,        0.68290,        9.99077,-1,       -1.00000
18978,-1,513084,-1,      149.89943,        2.07727,        0.66290,       10.96536,-1,       -1.00000
18979,-1,526217,-1,      149.89893,        2.10065,        0.30910,        9.27214,-1,       -1.00000
18980,-1,524977,-1,      149.89885,        2.09916,        0.30940,        8.72245,-1,       -1.00000
18981,-1,482853,-1,      149.89798,        2.03152,        0.22030,        9.60600,-1,       -1.00000
18982,-1,480554,-1,      149.89767,        2.02673,        0.67700,       10.50744,-1,       -1.00000
