GroupID,cenID,cenID2015,RA_avg,Dec_avg,z_avg,HaloMass,GroupTag,Richness
5857,6799,758537,      149.77991,        2.44856,        0.30766,       11.37009,0,2
5858,6801,752969,      149.78088,        2.43918,        0.85370,       12.39277,0,1
5859,6802,728931,      149.78407,        2.40168,        0.56950,       12.12276,0,1
5860,6803,657765,      149.78484,        2.29578,        0.53190,       11.99175,0,1
5861,6804,691177,      149.78642,        2.34632,        0.90050,       11.79530,0,1
5862,6805,713093,      149.78670,        2.37829,        0.76530,       12.26925,0,2
5863,6807,746390,      149.78616,        2.42493,        0.76491,       12.62139,1,3
5864,6810,663083,      149.78786,        2.30511,        0.70400,       11.82190,0,1
5865,6811,725425,      149.78799,        2.39558,        0.34390,       11.49571,0,1
5866,6812,755736,      149.78919,        2.44424,        0.28390,       11.32192,0,1
5867,6813,750474,      149.79113,        2.44546,        0.26106,       12.57573,1,3
5868,6816,658880,      149.78954,        2.29800,        0.33300,       11.41602,0,1
5869,6817,677569,      149.78909,        2.32422,        0.87479,       12.60149,0,2
5870,6819,738615,      149.79184,        2.41591,        0.17350,       11.26045,0,1
5871,6820,679945,      149.79376,        2.32719,        0.89340,       12.58143,0,1
5872,6821,712235,      149.79333,        2.37498,        0.45305,       11.79361,0,2
5873,6823,673136,      149.79509,        2.31934,        0.76290,       13.10415,0,1
5874,6824,736879,      149.78933,        2.41400,        0.83237,       13.28220,0,6
5875,6830,678588,      149.77855,        2.32770,        0.34385,       13.27161,0,15
5876,6845,694308,      149.79823,        2.35106,        0.34090,       11.30050,0,1
5877,6846,771810,      149.78824,        2.46597,        0.73452,       13.18129,1,5
5878,6851,718183,      149.80001,        2.38376,        0.70366,       12.53875,0,2
5879,6853,668771,      149.80425,        2.31166,        0.25040,       11.07277,0,1
5880,6854,744016,      149.80472,        2.42709,        0.31070,       11.18200,0,1
5881,6855,748258,      149.80524,        2.43115,        0.85360,       12.58585,0,1
5882,6856,734616,      149.80633,        2.41294,        0.70355,       12.02831,0,2
5883,6858,699785,      149.80640,        2.35867,        0.55050,       11.52706,0,1
5884,6859,693527,      149.80669,        2.34962,        0.23970,       10.91059,0,1
5885,6860,688927,      149.80782,        2.34233,        0.18820,       11.07225,0,1
5886,6861,748720,      149.80887,        2.43259,        0.74270,       11.90908,0,1
5887,6862,744206,      149.80899,        2.42639,        0.73010,       12.09528,0,1
5888,6863,755469,      149.81184,        2.44122,        0.42510,       11.72978,0,1
5889,6864,752936,      149.81198,        2.43940,        0.44930,       11.36581,0,1
5890,6865,747636,      149.81216,        2.43163,        0.47830,       11.73348,0,1
5891,6866,709792,      149.80994,        2.37392,        0.53157,       12.65920,0,3
5892,6869,710883,      149.81323,        2.37312,        0.18660,       11.05633,0,1
5893,6870,721118,      149.81400,        2.38906,        0.34380,       12.14165,0,1
5894,6871,731546,      149.81589,        2.40752,        0.31070,       11.09154,0,1
5895,6872,735494,      149.81645,        2.41381,        0.97620,       12.41781,0,1
5896,6873,664858,      149.81699,        2.30692,        0.89200,       12.30479,0,1
5897,6874,764911,      149.81752,        2.45818,        0.74050,       12.18479,0,1
5898,6875,691694,      149.81869,        2.34706,        0.35560,       11.29799,0,1
5899,6876,659578,      149.81886,        2.29988,        0.82480,       11.57971,0,1
5900,6877,684531,      149.81999,        2.33936,        0.49090,       12.62747,0,1
5901,6878,757838,      149.81879,        2.44663,        0.66830,       12.12532,1,2
5902,6880,693278,      149.82146,        2.34746,        0.95750,       11.69774,0,1
5903,6881,732219,      149.81653,        2.40493,        0.35692,       12.23279,0,3
5904,6884,716451,      149.81975,        2.38201,        0.66808,       12.32301,0,2
5905,6886,764612,      149.82301,        2.45836,        0.47980,       11.04405,0,1
5906,6887,759233,      149.82323,        2.44916,        0.72180,       11.59849,0,1
5907,6888,665525,      149.82355,        2.30786,        0.49100,       11.95227,0,1
5908,6889,720139,      149.82491,        2.38846,        0.94400,       12.26494,0,1
5909,6890,724707,      149.82465,        2.40015,        0.91015,       12.49093,0,3
5910,6893,763264,      149.82671,        2.45676,        0.26980,       11.03296,0,1
5911,6894,761617,      149.82713,        2.45406,        0.34530,       11.08543,0,1
5912,6895,656725,      149.82765,        2.29587,        0.90730,       12.03037,0,1
5913,6896,695728,      149.82930,        2.35647,        0.75815,       12.58743,0,2
5914,6898,738216,      149.82977,        2.41645,        0.25900,       11.26411,0,1
5915,6899,674205,      149.83087,        2.32106,        0.85630,       12.38115,0,1
5916,6900,675004,      149.83113,        2.32320,        0.21820,       11.07502,0,1
5917,6901,743686,      149.82369,        2.42470,        0.51291,       12.05826,0,2
5918,6903,655835,      149.83188,        2.29436,        0.38920,       11.69612,0,1
5919,6904,749375,      149.83234,        2.43354,        0.95960,       11.92452,0,1
5920,6905,750870,      149.83275,        2.43743,        0.67900,       11.59160,0,1
5921,6906,701212,      149.83510,        2.36072,        0.26410,       11.20579,0,1
5922,6907,692205,      149.83537,        2.34845,        0.84120,       11.78788,0,1
5923,6908,660710,      149.83629,        2.30196,        0.97140,       11.75608,0,1
5924,6909,744750,      149.83681,        2.42772,        0.71400,       11.59954,0,1
5925,6910,691248,      149.83707,        2.34397,        0.28330,       11.76162,0,1
5926,6911,761715,      149.83539,        2.45002,        0.24793,       12.11739,0,3
5927,6914,710514,      149.84053,        2.37366,        0.28210,       11.45072,0,1
5928,6915,739693,      149.84119,        2.41872,        0.56870,       11.79037,0,1
